feature,importance
overall,308
club_budget,721
stats_position_1,105
league_name_Saudi Abdul L. Jameel League ,23
height_cm,96
attacking_finishing,68
age,284
positions_length,6
goalkeeping_diving,50
power_shot_power,50
attacking_short_passing,65
league_name_Spain Primera Division ,16
mentality_composure,54
attacking_volleys,57
team_position_SUB,13
years_playing_for_current_club,97
defending,54
mentality_penalties,62
mentality_positioning,59
physic,58
weight_kg,84
pace,64
league_name_Portuguese Liga ZON SAGRES ,16
gk_reflexes,18
power_strength,54
passing,53
mentality_aggression,74
potential,92
goalkeeping_kicking,45
skill_fk_accuracy,56
movement_reactions,61
team_position_LW,2
stats_position_2,36
league_name_Chinese Super League ,9
shooting,72
league_name_German 1. Bundesliga ,13
power_long_shots,40
nationality_median_wage,65
attacking_crossing,62
dribbling,50
goalkeeping_positioning,46
movement_balance,45
gk_diving,23
power_stamina,68
league_name_English League Championship ,18
gk_handling,15
league_name_Mexican Liga MX ,13
mentality_vision,67
league_name_Italian Serie A ,24
contract_valid_until,59
power_jumping,82
international_reputation,16
mentality_interceptions,65
skill_ball_control,36
attacking_heading_accuracy,66
league_name_English League Two ,16
defending_marking,64
bmi,97
goalkeeping_reflexes,39
movement_sprint_speed,45
league_name_English Premier League ,18
team_position_ST,4
defending_sliding_tackle,60
goalkeeping_handling,43
weak_foot,27
league_name_French Ligue 1 ,10
league_name_Campeonato Brasileiro Série A ,11
body_type_Lean,12
movement_agility,47
league_name_Danish Superliga ,11
league_name_Spanish Segunda División ,8
skill_long_passing,60
league_name_Australian Hyundai A-League ,5
league_name_Belgian Jupiler Pro League ,11
skill_curve,51
movement_acceleration,45
team_position_GK,2
league_name_Swiss Super League ,11
gk_kicking,11
team_position_RCB,4
league_name_Turkish Süper Lig ,15
team_position_RS,1
defending_standing_tackle,41
league_name_USA Major League Soccer ,9
team_position_RES,9
skill_moves,19
league_name_Austrian Football Bundesliga ,10
league_name_Holland Eredivisie ,7
gk_positioning,14
league_name_Scottish Premiership ,8
preferred_foot,8
grouped_player_position_Forward,8
grouped_player_position_Midfielder,3
team_position_LCB,2
skill_dribbling,34
team_position_LM,1
gk_speed,14
attacking_work_rate,5
league_name_Italian Serie B ,8
team_position_LS,4
league_name_Colombian Liga Postobón ,6
league_name_English League One ,11
league_name_Japanese J. League Division 1 ,4
body_type_Normal,4
defensive_work_rate,6
body_type_Stocky,2
team_position_CB,1
league_name_German 2. Bundesliga ,11
stats_position_3,17
team_position_CAM,1
league_name_Argentina Primera División  ,6
league_name_Romanian Liga I ,4
team_position_RW,2
team_position_LB,4
grouped_player_position_Defender,3
team_position_LCM,1
league_name_French Ligue 2 ,4
team_position_RB,1
team_position_RM,4
team_position_CDM,1
loaned,3
league_name_Korean K League Classic ,3
league_name_Chilian Campeonato Nacional ,3
team_position_RDM,1
league_name_Czech Republic Gambrinus Liga ,1
league_name_Norwegian Eliteserien ,1
