url,league_name,team_name,team_country
241,Spain Primera Division ,FC Barcelona,Spain
11,English Premier League ,Manchester United,England
5,English Premier League ,Chelsea,England
243,Spain Primera Division ,Real Madrid,Spain
1,English Premier League ,Arsenal,England
9,English Premier League ,Liverpool,England
22,German 1. Bundesliga ,Borussia Dortmund,Germany
21,German 1. Bundesliga ,FC Bayern München,Germany
10,English Premier League ,Manchester City,England
73,French Ligue 1 ,Paris Saint-Germain,France
245,Holland Eredivisie ,Ajax,Netherlands
240,Spain Primera Division ,Atlético Madrid,Spain
191,Austrian Football Bundesliga ,FC Red Bull Salzburg,Austria
44,Italian Serie A ,Inter,Italy
47,Italian Serie A ,Milan,Italy
45,Italian Serie A ,Juventus,Italy
18,English Premier League ,Tottenham Hotspur,England
112172,German 1. Bundesliga ,RB Leipzig,Germany
1943,English Premier League ,Bournemouth,England
48,Italian Serie A ,Napoli,Italy
7,English Premier League ,Everton,England
32,German 1. Bundesliga ,Bayer 04 Leverkusen,Germany
52,Italian Serie A ,Roma,Italy
34,German 1. Bundesliga ,FC Schalke 04,Germany
95,English Premier League ,Leicester City,England
461,Spain Primera Division ,Valencia CF,Spain
110,English Premier League ,Wolverhampton Wanderers,England
66,French Ligue 1 ,Olympique Lyonnais,France
19,English Premier League ,West Ham United,England
110374,Italian Serie A ,Fiorentina,Italy
247,Holland Eredivisie ,PSV,Netherlands
1792,English Premier League ,Norwich City,England
449,Spain Primera Division ,Real Betis,Spain
1824,German 1. Bundesliga ,Eintracht Frankfurt,Germany
38,German 1. Bundesliga ,SV Werder Bremen,Germany
234,Portuguese Liga ZON SAGRES ,SL Benfica,Portugal
481,Spain Primera Division ,Sevilla FC,Spain
69,French Ligue 1 ,AS Monaco,Monaco
219,French Ligue 1 ,Olympique de Marseille,France
2,English Premier League ,Aston Villa,England
13,English Premier League ,Newcastle United,England
110679,German 3. Bundesliga ,Bayern München II,Germany
236,Portuguese Liga ZON SAGRES ,FC Porto,Portugal
74,French Ligue 1 ,Stade Rennais FC,France
237,Portuguese Liga ZON SAGRES ,Sporting CP,Portugal
65,French Ligue 1 ,LOSC Lille,France
17,English Premier League ,Southampton,England
39,Italian Serie A ,Atalanta,Italy
23,German 1. Bundesliga ,Borussia Mönchengladbach,Germany
50,Italian Serie A ,Parma,Italy
457,Spain Primera Division ,Real Sociedad,Spain
325,Turkish Süper Lig ,Galatasaray SK,Turkey
28,German 2. Bundesliga ,Hamburger SV,Germany
10029,German 1. Bundesliga ,TSG 1899 Hoffenheim,Germany
175,German 1. Bundesliga ,VfL Wolfsburg,Germany
326,Turkish Süper Lig ,Fenerbahçe SK,Turkey
190,Italian Serie A ,Brescia,Italy
448,Spain Primera Division ,Athletic Club de Bilbao,Spain
8,English League Championship ,Leeds United,England
1799,English Premier League ,Crystal Palace,England
1795,English Premier League ,Watford,England
166,German 1. Bundesliga ,Hertha BSC,Germany
211,Croatian Prva HNL ,Dinamo Zagreb,Croatia
46,Italian Serie A ,Lazio,Italy
1794,English Premier League ,Sheffield United,England
144,English League Championship ,Fulham,England
36,German 2. Bundesliga ,VfB Stuttgart,Germany
1842,Italian Serie A ,Cagliari,Italy
327,Turkish Süper Lig ,Beşiktaş JK,Turkey
113926,English League Two ,Salford City,England
78,Scottish Premiership ,Celtic,Scotland
72,French Ligue 1 ,OGC Nice,France
229,Belgian Jupiler Pro League ,RSC Anderlecht,Belgium
1879,Mexican Liga MX ,Club América,Mexico
1877,Argentina Primera División  ,Boca Juniors,Argentina
483,Spain Primera Division ,Villarreal CF,Spain
105035,International,Netherlands,Netherlands
31,German 1. Bundesliga ,1. FC Köln,Germany
101088,Argentina Primera División  ,Vélez Sarsfield,Argentina
1370,International,Brazil,Brazil
1808,English Premier League ,Brighton & Hove Albion,England
1335,International,France,France
452,Spain Primera Division ,RCD Espanyol,Spain
169,German 1. Bundesliga ,1. FSV Mainz 05,Germany
246,Holland Eredivisie ,Feyenoord,Netherlands
450,Spain Primera Division ,RC Celta,Spain
25,German 1. Bundesliga ,SC Freiburg,Germany
110556,Italian Serie A ,Genoa,Italy
1337,International,Germany,Germany
462,Spain Primera Division ,Real Valladolid CF,Spain
91,English League Championship ,Derby County,England
1876,Argentina Primera División  ,River Plate,Argentina
436,Turkish Süper Lig ,Trabzonspor,Turkey
1880,Mexican Liga MX ,Guadalajara,Mexico
453,Spain Primera Division ,RCD Mallorca,Spain
1806,English League Championship ,Stoke City,England
1790,English League One ,Portsmouth,England
1819,French Ligue 1 ,AS Saint-Étienne,France
1796,English Premier League ,Burnley,England
110636,German 1. Bundesliga ,Fortuna Düsseldorf,Germany
1386,International,Mexico,Mexico
189,Italian Serie A ,Bologna,Italy
1318,International,England,England
71,French Ligue 1 ,FC Nantes,France
14,English League Championship ,Nottingham Forest,England
101059,Ukrainian Premier League ,Shakhtar Donetsk,Ukraine
1362,International,Spain,Spain
54,Italian Serie A ,Torino,Italy
106,English League One ,Sunderland,England
1960,English League Championship ,Swansea City,Wales
59,French Ligue 1 ,FC Girondins de Bordeaux,France
100409,German 1. Bundesliga ,FC Augsburg,Germany
697,USA Major League Soccer ,LA Galaxy,USA
1878,Mexican Liga MX ,Cruz Azul,Mexico
673,Belgian Jupiler Pro League ,KRC Genk,Belgium
1369,International,Argentina,Argentina
1860,Spain Primera Division ,Getafe CF,Spain
112885,USA Major League Soccer ,Atlanta United,USA
112996,USA Major League Soccer ,Los Angeles FC,USA
